,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
308,7.0,1.0,8.0,1.0,7.0,1.0,8.0,1.0,-7.132909
309,7.0,1.0,8.0,1.0,9.0,1.0,10.0,1.0,2.483847
310,7.0,1.0,9.0,1.0,3.0,1.0,7.0,1.0,0.41675
311,7.0,1.0,9.0,1.0,4.0,1.0,8.0,1.0,-0.41675
312,7.0,1.0,9.0,1.0,7.0,1.0,9.0,1.0,-0.432253
313,7.0,1.0,9.0,1.0,8.0,1.0,10.0,1.0,0.432253
314,7.0,1.0,10.0,1.0,4.0,1.0,7.0,1.0,0.071544
315,7.0,1.0,10.0,1.0,5.0,1.0,8.0,1.0,-2.250437
316,7.0,1.0,10.0,1.0,7.0,1.0,10.0,1.0,-2.051594
317,7.0,1.0,3.0,2.0,3.0,1.0,8.0,2.0,2.660645
318,7.0,1.0,3.0,2.0,4.0,1.0,7.0,2.0,-2.660645
319,7.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,-2.707159
320,7.0,1.0,3.0,2.0,7.0,1.0,10.0,2.0,-0.200886
321,7.0,1.0,3.0,2.0,8.0,1.0,4.0,2.0,2.707159
322,7.0,1.0,3.0,2.0,8.0,1.0,9.0,2.0,0.200886
323,7.0,1.0,3.0,2.0,9.0,1.0,8.0,2.0,0.203532
324,7.0,1.0,3.0,2.0,10.0,1.0,7.0,2.0,-0.203532
325,7.0,1.0,4.0,2.0,4.0,1.0,8.0,2.0,0.353648
326,7.0,1.0,4.0,2.0,5.0,1.0,7.0,2.0,0.0996
327,7.0,1.0,4.0,2.0,7.0,1.0,4.0,2.0,-0.355992
328,7.0,1.0,4.0,2.0,7.0,1.0,9.0,2.0,-0.040634
329,7.0,1.0,4.0,2.0,8.0,1.0,6.0,2.0,-0.089682
330,7.0,1.0,4.0,2.0,10.0,1.0,8.0,2.0,0.031961
331,7.0,1.0,5.0,2.0,3.0,1.0,7.0,2.0,0.092862
332,7.0,1.0,5.0,2.0,6.0,1.0,8.0,2.0,1.290222
333,7.0,1.0,5.0,2.0,7.0,1.0,5.0,2.0,-1.29341
334,7.0,1.0,5.0,2.0,8.0,1.0,3.0,2.0,-0.089682
335,7.0,1.0,5.0,2.0,8.0,1.0,10.0,2.0,1.105984
336,7.0,1.0,5.0,2.0,9.0,1.0,7.0,2.0,-1.111412
337,7.0,1.0,6.0,2.0,5.0,1.0,8.0,2.0,0.263392
338,7.0,1.0,6.0,2.0,7.0,1.0,6.0,2.0,-0.267484
339,7.0,1.0,7.0,2.0,3.0,1.0,4.0,2.0,3.014289
340,7.0,1.0,7.0,2.0,3.0,1.0,9.0,2.0,0.233655
341,7.0,1.0,7.0,2.0,4.0,1.0,3.0,2.0,-3.014289
342,7.0,1.0,7.0,2.0,4.0,1.0,10.0,2.0,-0.233655
343,7.0,1.0,7.0,2.0,5.0,1.0,5.0,2.0,1.553617
